laminarin	GH3
laminarin	GH16
laminarin	GH17
laminarin	GH30
α-1,4-glucan	GH13
α-1,4-glucan	GH31
α-1,4-glucan	GH65
α-1,4-glucan	GH97
α-1,4-glucan	CBM48
alginate	PL5
alginate	PL6
alginate	PL7
alginate	PL12
alginate	PL14
alginate	PL15
alginate	PL17
α-mannose-rich substrate	GH38
α-mannose-rich substrate	GH76
α-mannose-rich substrate	GH92
α-mannose-rich substrate	GH125
β-mannose-rich substrate	GH5
β-mannose-rich substrate	GH26
β-mannose-rich substrate	GH113
β-mannose-rich substrate	GH130
FCSP	GH29
FCSP	GH95
FCSP	GH117
β-xylose-containing substrate	GH10
β-xylose-containing substrate	GH30
β-xylose-containing substrate	GH43
β-xylose-containing substrate	GH115
rhamnose-containing substr.	GH78
rhamnose-containing substr.	GH105
rhamnose-containing substr.	GH106
rhamnose-containing substr.	CBM67
pectin-like substrate	GH28
pectin-like substrate	GH88
pectin-like substrate	GH105
pectin-like substrate	GH106
pectin-like substrate	PL1
pectin-like substrate	PL9
pectin-like substrate	CE8
pectin-like substrate	CE12
Pectin	GH53
galactose-rich substrate & carrageenan	GH42
galactose-rich substrate & carrageenan	GH82
galactose-rich substrate & carrageenan	GH110
galactose-rich substrate & carrageenan	GH127
galactose-rich substrate & carrageenan	GH129
arabinose-rich substrate	GH51
arabinose-rich substrate	GH127
arabinose-rich substrate	GH129
fructose	GH32
chitin	GH18
chitin	GH19
chitin	CBM5
chitin	CBM12
NAG-cont. substrate	GH20
NAG-cont. substrate	CE9
GalNAc 	GH109
β-glucan	GH128
sialic acid oligosaccharides	GH33
trehalose	GH13
trehalose	GH37
digeneaside	GH63
